"subject","trial","native_language","word","class","frequency","length","correct","RT"
"A1",23,"English","owl","animal",4.859812,3,"correct",566.999827786391
"A1",27,"English","mole","animal",4.60517,4,"correct",548.999757611321
"A1",29,"English","cherry","plant",4.997212,6,"correct",572.000004930756
"A1",30,"English","pear","plant",4.727388,4,"correct",486.000182784394
"A1",32,"English","dog","animal",7.667626,3,"correct",414.00001083632
"A1",33,"English","blackberry","plant",4.060443,10,"correct",483.000167285837
"A1",34,"English","strawberry","plant",4.75359,10,"correct",417.999819204691
"A1",38,"English","squirrel","animal",4.70953,8,"correct",524.999862139415
"A1",41,"English","radish","plant",3.044522,6,"correct",638.999709652821
"A1",42,"English","almond","plant",4.204693,6,"correct",485.000052895323
"A1",45,"English","whale","animal",5.298317,5,"correct",462.999974958074
"A1",46,"English","reindeer","animal",4.043051,8,"correct",513.999863556063
"A1",47,"English","blueberry","plant",2.484907,9,"correct",404.999972821852
"A1",48,"English","lemon","plant",5.631212,5,"correct",417.999819204691
"A1",53,"English","bee","animal",5.700444,3,"correct",556.999866360519
"A1",54,"English","goat","animal",6.228511,4,"correct",398.999833660979
"A1",55,"English","eggplant","plant",1.791759,8,"correct",536.999949248742
"A1",58,"English","tomato","plant",5.545177,6,"correct",590.999989712996
"A1",59,"English","peanut","plant",4.59512,6,"correct",387.000118797493
"A1",61,"English","bat","animal",5.918894,3,"incorrect",456.999821361383
"A1",62,"English","mustard","plant",4.442651,7,"correct",847.000258629749
"A1",64,"English","magpie","animal",2.995732,6,"correct",916.999566940924
"A1",65,"English","stork","animal",3.044522,5,"correct",606.000008441996
"A1",67,"English","goose","animal",5.267858,5,"correct",614.999835299014
"A1",68,"English","squid","animal",3.970292,5,"correct",555.9998363967
"A1",75,"English","carrot","plant",4.976734,6,"correct",496.999987029976
"A1",76,"English","crocodile","animal",4.615121,9,"correct",499.999950788907
"A1",79,"English","tortoise","animal",4.624973,8,"correct",1229.99944850937
"A1",80,"English","spider","animal",4.844187,6,"correct",442.000052121661
"A1",82,"English","grape","plant",5.192957,5,"correct",496.999987029976
"A1",88,"English","fox","animal",5.652489,3,"correct",581.999739420361
"A1",91,"English","potato","plant",6.461468,6,"correct",721.999899719386
"A1",93,"English","frog","animal",5.129899,4,"correct",675.000208661075
"A1",94,"English","beetroot","plant",3.555348,8,"correct",573.999772512614
"A1",96,"English","asparagus","plant",3.663562,9,"correct",532.999773919653
"A1",97,"English","mouse","animal",5.805135,5,"correct",398.999833660979
"A1",98,"English","dolphin","animal",4.007333,7,"correct",436.999914743235
"A1",100,"English","pineapple","plant",3.988984,9,"correct",457.999915675711
"A1",102,"English","lettuce","plant",4.812184,7,NA,NA
"A1",106,"English","sheep","animal",6.577861,5,"correct",441.000054927944
"A1",108,"English","cucumber","plant",4.454347,8,"correct",592.000216148708
"A1",109,"English","gherkin","plant",2.079442,7,"correct",502.999914439838
