"","subj_id","list_id","item_id","A","B","Y"
"1",1,4,1,"A2","B2",244.306773124799
"2",1,4,2,"A2","B2",266.421792429592
"3",1,4,3,"A2","B2",301.072537267247
"4",1,4,4,"A2","B2",263.5178635464
"5",1,4,5,"A2","B2",255.724367157281
"6",1,4,6,"A2","B2",251.623308933374
"7",1,4,7,"A2","B2",247.377038833249
"8",1,4,8,"A2","B2",305.759457898077
"9",1,4,9,"A2","B2",252.120829869457
"10",1,4,10,"A2","B2",264.569250582758
"11",1,4,11,"A1","B1",221.188338899141
"12",1,4,12,"A1","B1",297.855999639768
"13",1,4,13,"A1","B1",240.372161429544
"14",1,4,14,"A1","B1",259.031637108336
"15",1,4,15,"A1","B1",267.199336720097
"16",1,4,16,"A1","B1",239.368013419349
"17",1,4,17,"A1","B1",302.587843343118
"18",1,4,18,"A1","B1",261.786253272872
"19",1,4,19,"A1","B1",320.567477311588
"20",1,4,20,"A1","B1",247.839381799851
"21",1,4,21,"A1","B2",271.767933156565
"22",1,4,22,"A1","B2",256.053545519861
"23",1,4,23,"A1","B2",260.219516813572
"24",1,4,24,"A1","B2",251.850000734968
"25",1,4,25,"A1","B2",260.81460312913
"26",1,4,26,"A1","B2",256.348316684334
"27",1,4,27,"A1","B2",301.620905697864
"28",1,4,28,"A1","B2",257.279990220043
"29",1,4,29,"A1","B2",251.090539265129
"30",1,4,30,"A1","B2",218.071555933032
"31",1,4,31,"A2","B1",289.36323148898
"32",1,4,32,"A2","B1",248.468995344477
"33",1,4,33,"A2","B1",273.180376583131
"34",1,4,34,"A2","B1",262.858299645378
"35",1,4,35,"A2","B1",254.215696350753
"36",1,4,36,"A2","B1",286.77539139177
"37",1,4,37,"A2","B1",245.572249672194
"38",1,4,38,"A2","B1",292.288955730488
"39",1,4,39,"A2","B1",254.415549543365
"40",1,4,40,"A2","B1",228.51259744287
"41",2,1,1,"A1","B1",261.657848277828
"42",2,1,2,"A1","B1",269.086744748607
"43",2,1,3,"A1","B1",282.952562571006
"44",2,1,4,"A1","B1",238.139072588287
"45",2,1,5,"A1","B1",274.078425250994
"46",2,1,6,"A1","B1",268.911663019494
"47",2,1,7,"A1","B1",239.146284403341
"48",2,1,8,"A1","B1",260.957967424876
"49",2,1,9,"A1","B1",284.872758504013
"50",2,1,10,"A1","B1",261.923020747312
"51",2,1,11,"A1","B2",236.622817899698
"52",2,1,12,"A1","B2",236.182708347054
"53",2,1,13,"A1","B2",229.567950265397
"54",2,1,14,"A1","B2",243.854632345438
"55",2,1,15,"A1","B2",244.331017480158
"56",2,1,16,"A1","B2",234.022976535847
"57",2,1,17,"A1","B2",244.949351294489
"58",2,1,18,"A1","B2",257.231544620789
"59",2,1,19,"A1","B2",287.383025310962
"60",2,1,20,"A1","B2",260.751192037648
"61",2,1,21,"A2","B1",272.332495738971
"62",2,1,22,"A2","B1",294.117222942396
"63",2,1,23,"A2","B1",273.37703933765
"64",2,1,24,"A2","B1",227.443342427421
"65",2,1,25,"A2","B1",219.436034227934
"66",2,1,26,"A2","B1",237.748611139351
"67",2,1,27,"A2","B1",284.597172971587
"68",2,1,28,"A2","B1",277.094049203428
"69",2,1,29,"A2","B1",229.18008953733
"70",2,1,30,"A2","B1",255.264568196179
"71",2,1,31,"A2","B2",283.256451465065
"72",2,1,32,"A2","B2",255.031291809472
"73",2,1,33,"A2","B2",311.767518086765
"74",2,1,34,"A2","B2",245.32565959722
"75",2,1,35,"A2","B2",257.645865044039
"76",2,1,36,"A2","B2",283.021433129339
"77",2,1,37,"A2","B2",300.668137103062
"78",2,1,38,"A2","B2",261.282340183231
"79",2,1,39,"A2","B2",302.01325869744
"80",2,1,40,"A2","B2",245.428744829425
"81",3,1,1,"A1","B1",247.934662994081
"82",3,1,2,"A1","B1",228.027974582937
"83",3,1,3,"A1","B1",304.966817178897
"84",3,1,4,"A1","B1",239.546534182028
"85",3,1,5,"A1","B1",258.77035084205
"86",3,1,6,"A1","B1",256.10262584312
"87",3,1,7,"A1","B1",273.881570455164
"88",3,1,8,"A1","B1",278.566834797526
"89",3,1,9,"A1","B1",245.268329301667
"90",3,1,10,"A1","B1",254.021926543221
"91",3,1,11,"A1","B2",242.19185857571
"92",3,1,12,"A1","B2",274.515283644057
"93",3,1,13,"A1","B2",282.268238212715
"94",3,1,14,"A1","B2",254.987701267032
"95",3,1,15,"A1","B2",222.037790107004
"96",3,1,16,"A1","B2",227.866274395844
"97",3,1,17,"A1","B2",267.17893869501
"98",3,1,18,"A1","B2",258.552193970554
"99",3,1,19,"A1","B2",259.290168648373
"100",3,1,20,"A1","B2",299.017615048656
"101",3,1,21,"A2","B1",266.596393497431
"102",3,1,22,"A2","B1",295.82851843496
"103",3,1,23,"A2","B1",272.00182304194
"104",3,1,24,"A2","B1",222.688232849384
"105",3,1,25,"A2","B1",185.612159211695
"106",3,1,26,"A2","B1",291.618733818573
"107",3,1,27,"A2","B1",261.643111898608
"108",3,1,28,"A2","B1",252.327738335516
"109",3,1,29,"A2","B1",214.97610126352
"110",3,1,30,"A2","B1",240.962317153582
"111",3,1,31,"A2","B2",254.684369980102
"112",3,1,32,"A2","B2",257.818355404162
"113",3,1,33,"A2","B2",320.474096320631
"114",3,1,34,"A2","B2",273.126647498695
"115",3,1,35,"A2","B2",225.781783500657
"116",3,1,36,"A2","B2",228.579936017574
"117",3,1,37,"A2","B2",277.529019467403
"118",3,1,38,"A2","B2",233.308622170856
"119",3,1,39,"A2","B2",288.409048042511
"120",3,1,40,"A2","B2",225.091583845964
"121",4,4,1,"A2","B2",246.173291313418
