"Subject","Days","Reaction"
"1",0,249.56
"1",1,258.7047
"1",2,250.8006
"1",3,321.4398
"1",4,356.8519
"1",5,414.6901
"1",6,382.2038
"1",7,290.1486
"1",8,430.5853
"1",9,466.3535
"2",0,222.7339
"2",1,205.2658
"2",2,202.9778
"2",3,204.707
"2",4,207.7161
"2",5,215.9618
"2",6,213.6303
"2",7,217.7272
"2",8,224.2957
"2",9,237.3142
"3",0,199.0539
"3",1,194.3322
"3",2,234.32
"3",3,232.8416
"3",4,229.3074
"3",5,220.4579
"3",6,235.4208
"3",7,255.7511
"3",8,261.0125
"3",9,247.5153
"4",0,321.5426
"4",1,300.4002
"4",2,283.8565
"4",3,285.133
"4",4,285.7973
"4",5,297.5855
"4",6,280.2396
"4",7,318.2613
"4",8,305.3495
"4",9,354.0487
"5",0,287.6079
"5",1,285
"5",2,301.8206
"5",3,320.1153
"5",4,316.2773
"5",5,293.3187
"5",6,290.075
"5",7,334.8177
"5",8,293.7469
"5",9,371.5811
"6",0,234.8606
"6",1,242.8118
"6",2,272.9613
"6",3,309.7688
"6",4,317.4629
"6",5,309.9976
"6",6,454.1619
"6",7,346.8311
"6",8,330.3003
"6",9,253.8644
"7",0,283.8424
"7",1,289.555
"7",2,276.7693
"7",3,299.8097
"7",4,297.171
"7",5,338.1665
"7",6,332.0265
"7",7,348.8399
"7",8,333.36
"7",9,362.0428
"8",0,265.4731
"8",1,276.2012
"8",2,243.3647
"8",3,254.6723
"8",4,279.0244
"8",5,284.1912
"8",6,305.5248
"8",7,331.5229
"8",8,335.7469
"8",9,377.299
"9",0,241.6083
"9",1,273.9472
"9",2,254.4907
"9",3,270.8021
"9",4,251.4519
"9",5,254.6362
"9",6,245.4523
"9",7,235.311
"9",8,235.7541
"9",9,237.2466
"10",0,312.3666
"10",1,313.8058
"10",2,291.6112
"10",3,346.1222
"10",4,365.7324
"10",5,391.8385
"10",6,404.2601
"10",7,416.6923
"10",8,455.8643
"10",9,458.9167
"11",0,236.1032
"11",1,230.3167
"11",2,238.9256
"11",3,254.922
"11",4,250.7103
"11",5,269.7744
"11",6,281.5648
"11",7,308.102
"11",8,336.2806
"11",9,351.6451
"12",0,256.2968
"12",1,243.4543
"12",2,256.2046
"12",3,255.5271
"12",4,268.9165
"12",5,329.7247
"12",6,379.4445
"12",7,362.9184
"12",8,394.4872
"12",9,389.0527
"13",0,250.5265
"13",1,300.0576
"13",2,269.8939
"13",3,280.5891
"13",4,271.8274
"13",5,304.6336
"13",6,287.7466
"13",7,266.5955
"13",8,321.5418
"13",9,347.5655
"14",0,221.6771
"14",1,298.1939
"14",2,326.8785
"14",3,346.8555
"14",4,348.7402
"14",5,352.8287
"14",6,354.4266
"14",7,360.4326
"14",8,375.6406
"14",9,388.5417
"15",0,271.9235
"15",1,268.4369
"15",2,257.2424
"15",3,277.6566
"15",4,314.8222
"15",5,317.2135
"15",6,298.1353
"15",7,348.1229
"15",8,340.28
"15",9,366.5131
"16",0,225.264
"16",1,234.5235
"16",2,238.9008
"16",3,240.473
"16",4,267.5373
"16",5,344.1937
"16",6,281.1481
"16",7,347.5855
"16",8,365.163
"16",9,372.2288
"17",0,269.8804
"17",1,272.4428
"17",2,277.8989
"17",3,281.7895
"17",4,279.1705
"17",5,284.512
"17",6,259.2658
"17",7,304.6306
"17",8,350.7807
"17",9,369.4692
"18",0,269.4117
"18",1,273.474
"18",2,297.5968
"18",3,310.6316
"18",4,287.1726
"18",5,329.6076
"18",6,334.4818
"18",7,343.2199
"18",8,369.1417
"18",9,364.1236
"19",0,257.856626067146
"19",1,228.53561037562
"19",2,276.025100174206
"19",3,320.918863790456
"19",4,295.499584410951
"19",5,NA
"19",6,NA
"19",7,NA
"19",8,NA
"19",9,NA
"20",0,258.43704535219
"20",1,264.502100515849
"20",2,NA
"20",3,NA
"20",4,NA
"20",5,NA
"20",6,NA
"20",7,NA
"20",8,NA
"20",9,NA
"21",0,256.772626767037
"21",1,238.257411434851
"21",2,275.880055242699
"21",3,264.801695985223
"21",4,NA
"21",5,NA
"21",6,271.866338870785
"21",7,281.75985497823
"21",8,250.331322759407
"21",9,285.035736366568
